               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.031683,            0.024502,           0.0063818,             0.95261,             0.93423,             0.95673,              0.5738,             0.03459,            0.022191,           0.0076252,           0.0045055,           0.0045055,           0.0045055
                 113,            0.031294,            0.024352,           0.0063452,             0.95438,             0.94289,             0.95559,             0.58203,            0.034509,            0.022245,           0.0077289,            0.004456,            0.004456,            0.004456
                 114,            0.031542,            0.023642,           0.0067192,             0.95437,             0.94552,             0.95379,             0.58335,            0.034401,            0.022495,           0.0077836,           0.0044065,           0.0044065,           0.0044065
                 115,            0.032097,            0.024249,           0.0063121,             0.96146,             0.93757,             0.96109,              0.5805,            0.035231,            0.022568,           0.0078414,            0.004357,            0.004357,            0.004357
                 116,            0.031892,            0.023253,           0.0061051,             0.95459,             0.94322,             0.95591,             0.59124,            0.034563,            0.022527,           0.0077547,           0.0043075,           0.0043075,           0.0043075
                 117,            0.031291,            0.023368,           0.0066262,             0.95273,             0.94156,             0.95585,              0.5848,            0.034101,            0.022666,           0.0077529,            0.004258,            0.004258,            0.004258
                 118,            0.030993,            0.022552,            0.006275,             0.94642,             0.94151,             0.95102,             0.58448,            0.034502,            0.022479,           0.0077706,           0.0042085,           0.0042085,           0.0042085
                 119,             0.03079,            0.022339,           0.0064269,             0.94389,             0.94662,             0.95014,             0.58196,            0.034379,            0.022724,           0.0078682,            0.004159,            0.004159,            0.004159
                 120,            0.030821,            0.026361,           0.0064266,             0.94528,             0.94258,             0.95249,             0.58403,            0.034076,            0.022475,           0.0077794,           0.0041095,           0.0041095,           0.0041095
                 121,            0.030504,            0.022197,           0.0062485,             0.94582,             0.93999,              0.9597,             0.58444,            0.034347,            0.022795,            0.007718,             0.00406,             0.00406,             0.00406
                 122,            0.030572,            0.023169,           0.0065179,             0.94909,             0.94657,             0.96528,             0.58535,            0.033957,            0.022362,           0.0076669,           0.0040105,           0.0040105,           0.0040105
                 123,            0.030082,            0.022797,           0.0064116,             0.94892,             0.95009,             0.96913,             0.57731,            0.033806,            0.022014,           0.0076481,            0.003961,            0.003961,            0.003961
                 124,             0.03131,            0.023406,           0.0064149,             0.94569,             0.95233,              0.9688,              0.5875,              0.0337,            0.022011,           0.0076138,           0.0039115,           0.0039115,           0.0039115
                 125,            0.030163,            0.023043,            0.005934,             0.94253,             0.94599,             0.96853,               0.587,            0.034083,            0.021974,           0.0076254,            0.003862,            0.003862,            0.003862
                 126,            0.030413,             0.02247,           0.0061992,             0.94478,             0.94835,             0.96186,             0.58971,            0.034201,            0.021889,           0.0076516,           0.0038125,           0.0038125,           0.0038125
                 127,            0.029464,            0.023049,           0.0059123,             0.95316,             0.94844,             0.95691,             0.58276,            0.034327,            0.022481,           0.0076663,            0.003763,            0.003763,            0.003763
                 128,             0.02976,            0.022457,           0.0061127,             0.95262,             0.95332,             0.95888,             0.58308,            0.034508,            0.022623,           0.0079094,           0.0037135,           0.0037135,           0.0037135
                 129,            0.030314,            0.023719,           0.0065223,             0.96187,             0.94259,             0.95944,             0.56914,             0.03458,            0.022572,           0.0078664,            0.003664,            0.003664,            0.003664
                 130,             0.03073,            0.023204,           0.0066667,             0.95216,             0.94856,             0.96626,              0.5774,            0.035052,            0.022662,           0.0076182,           0.0036145,           0.0036145,           0.0036145
                 131,              0.0308,            0.022389,            0.006107,             0.95127,             0.94795,             0.96175,             0.58873,            0.034466,            0.022097,           0.0076536,            0.003565,            0.003565,            0.003565
                 132,            0.030679,            0.022607,           0.0064413,             0.95799,             0.93974,             0.96193,             0.59081,            0.034422,             0.02214,           0.0075059,           0.0035155,           0.0035155,           0.0035155
                 133,            0.030246,            0.024283,           0.0066079,             0.95761,             0.93466,             0.96767,             0.59359,            0.034256,            0.022482,           0.0074709,            0.003466,            0.003466,            0.003466
                 134,            0.029681,            0.023511,            0.006025,             0.95596,             0.93746,             0.96465,             0.59127,            0.034101,            0.022858,           0.0075897,           0.0034165,           0.0034165,           0.0034165
                 135,            0.029538,            0.020876,           0.0061562,             0.95993,             0.93691,             0.96422,              0.5912,            0.033782,            0.022745,           0.0076901,            0.003367,            0.003367,            0.003367
                 136,            0.029543,            0.022603,           0.0063801,              0.9617,             0.94194,             0.96515,             0.60047,            0.034124,            0.022809,           0.0076771,           0.0033175,           0.0033175,           0.0033175
                 137,            0.030071,            0.023509,           0.0062062,             0.95347,             0.94772,             0.97019,             0.59256,            0.034526,            0.023042,           0.0076548,            0.003268,            0.003268,            0.003268
                 138,            0.029074,            0.022642,            0.006257,             0.95897,              0.9594,             0.96739,             0.60334,            0.034036,            0.022697,           0.0077259,           0.0032185,           0.0032185,           0.0032185
                 139,            0.029218,            0.023581,           0.0063259,             0.95784,             0.95656,             0.96773,             0.59898,            0.034161,            0.022547,           0.0076647,            0.003169,            0.003169,            0.003169
                 140,            0.028845,             0.02208,           0.0057771,             0.96137,             0.96766,             0.97094,             0.59782,            0.034089,            0.022615,           0.0076048,           0.0031195,           0.0031195,           0.0031195
                 141,            0.029184,            0.022238,           0.0062673,             0.95419,             0.96117,              0.9667,             0.59315,            0.033952,            0.022653,           0.0076775,             0.00307,             0.00307,             0.00307
                 142,            0.028965,            0.023234,           0.0059398,             0.96201,             0.95844,             0.96384,             0.58718,            0.033959,            0.022952,           0.0075698,           0.0030205,           0.0030205,           0.0030205
                 143,            0.029022,            0.022388,           0.0059235,              0.9661,             0.95999,              0.9653,              0.5829,            0.033737,            0.022335,            0.007582,            0.002971,            0.002971,            0.002971
                 144,             0.02891,            0.021543,           0.0057469,             0.96777,              0.9612,             0.96609,              0.5914,            0.033793,            0.022191,           0.0076148,           0.0029215,           0.0029215,           0.0029215
                 145,            0.029354,            0.022222,            0.005991,              0.9666,             0.96339,             0.96677,              0.5914,            0.033993,             0.02233,             0.00755,            0.002872,            0.002872,            0.002872
                 146,            0.028581,            0.022139,           0.0060896,              0.9481,             0.96719,             0.97369,              0.5955,            0.034191,            0.022444,           0.0075156,           0.0028225,           0.0028225,           0.0028225
                 147,            0.028634,            0.022445,           0.0062388,             0.97251,             0.95728,             0.97257,             0.59762,            0.034124,            0.022441,           0.0075283,            0.002773,            0.002773,            0.002773
                 148,            0.029428,            0.021585,           0.0062353,             0.95823,             0.95629,             0.96971,             0.60309,            0.033934,            0.022169,           0.0074699,           0.0027235,           0.0027235,           0.0027235
                 149,            0.028886,            0.021859,            0.006231,             0.98097,             0.95259,             0.97217,             0.59644,            0.033825,            0.022381,           0.0073199,            0.002674,            0.002674,            0.002674
                 150,            0.028758,            0.022693,             0.00624,             0.97825,             0.96047,             0.97245,             0.59281,            0.033944,             0.02267,           0.0072722,           0.0026245,           0.0026245,           0.0026245
                 151,            0.028802,            0.022651,           0.0060384,             0.95864,             0.94983,             0.96947,             0.59874,            0.033791,            0.022717,           0.0074103,            0.002575,            0.002575,            0.002575
                 152,            0.028109,            0.021167,           0.0060052,             0.96158,             0.94607,             0.96813,             0.59386,            0.033888,            0.022772,           0.0073997,           0.0025255,           0.0025255,           0.0025255
                 153,            0.028197,            0.022843,           0.0065249,             0.95823,             0.95343,             0.96565,             0.59236,            0.033813,            0.022513,            0.007503,            0.002476,            0.002476,            0.002476
                 154,            0.028332,            0.023247,           0.0058035,             0.95896,               0.942,             0.96549,             0.59103,             0.03395,            0.022344,           0.0075357,           0.0024265,           0.0024265,           0.0024265
